id_application,id_posting,id_resume_outcome,callback,heightrequired,jobgenderoptions,,photo_gender,photo_num,photo,avg_rating,share_num6p,share_num5p,share_num4p,attract_top25,attract_top50,attract_top75,attract_top90,attract_top10,attract_above4_p50,attract_above4_p75,_weight,_height_ft,_height_in,,MenAttBins,MCBs,Photos,Rating,,WomenAttBins,WCBs,Photos,Rating,,,solonum,solorat,sologen,,,,,,,,
4297,"1,075",1,0,0,Both Male & Female,,Female,22,22,2.6734693,0.020408163,0.10204082,0.22448979,0,0,0,1,0,0,0,51,5,,,,,,,,,,,,,,49,3.1836734,Male,,,,,,,,
5479,"1,370",3,0,0,Both Male & Female,,Male,7,39,2.8367348,0,0.10204082,0.26530612,0,0,1,1,0,0,0,59,5,,,,,,,,,,,,,,50,3.4081633,Male,,,,,,,,
6247,"1,562",3,0,0,Both Male & Female,,Female,29,29,3.1632652,0,0.14285715,0.34693879,0,0,1,1,0,0,0,51,5,,,,,,,,,,,,,,51,3.5306122,Male,,,,,,,,
40,10,4,1,0,Both Male & Female,,Female,23,23,3.2448978,0.020408163,0.1632653,0.40816328,0,0,1,1,0,0,0,55,5,,,,,,,,,,,,,,52,4.1836734,Male,,,,,,,,
414,104,2,1,0,Both Male & Female,,Male,25,57,2.6938775,0,0.081632651,0.18367347,0,0,0,1,0,0,0,64,5,,,,,,,,,,,,,,53,4.0816326,Male,,,,,,,,
502,126,2,1,0,Both Male & Female,,Male,3,35,4.1836734,0.14285715,0.34693879,0.73469388,1,1,1,1,1,1,0,62,5,,,,,,,,,,,,,,54,2.6938775,Male,,,,,,,,
205,52,1,0,0,Both Male & Female,,Female,24,24,3.3265307,0.020408163,0.1632653,0.42857143,0,1,1,1,0,0,0,51,5,,,,,,,,,,,,,,55,3.2244897,Male,,,,,,,,
5181,"1,296",1,0,0,Both Male & Female,,Male,32,64,3.2448978,0.020408163,0.20408164,0.40816328,0,1,1,1,0,0,0,67,5,,,,,,,,,,,,,,56,3.4693878,Male,,,,,,,,
9,3,1,0,0,Both Male & Female,,Male,14,46,3.5102041,0.020408163,0.22448979,0.55102038,0,1,1,1,0,1,0,65,5,,,,,,,,,,,,,,57,2.6938775,Male,,,,,,,,
6609,"1,653",1,0,0,Both Male & Female,,Male,15,47,3.3265307,0,0.18367347,0.44897959,0,1,1,1,0,0,0,59,5,5,,,,,,,,,,,,,58,2.5714285,Male,,,,,,,,
4321,"1,081",1,0,0,Both Male & Female,,Female,30,30,2.6938775,0,0.06122449,0.22448979,0,0,0,1,0,0,0,52,5,,,,,,,,,,,,,,59,4.0408163,Male,,,,,,,,
120,30,4,0,0,Both Male & Female,,Male,4,36,3.1428571,0.020408163,0.14285715,0.32653061,0,0,1,1,0,0,0,60,5,,,,,,,,,,,,,,60,2.6122448,Male,,,,,,,,
199,50,3,0,0,Both Male & Female,,Female,21,21,3.1020408,0.040816326,0.1632653,0.30612245,0,0,1,1,0,0,0,51,5,,,,,,,,,,,,,,61,2.8979592,Male,,,,,,,,
6899,"1,725",3,0,0,Both Male & Female,,Female,10,10,3.0816326,0.020408163,0.040816326,0.34693879,0,0,1,1,0,0,0,45,5,,,,,,,,,,,,,,62,3.1836734,Male,,,,,,,,
165,42,1,1,0,Both Male & Female,,Female,6,6,3.8367348,0.10204082,0.32653061,0.59183675,0,1,1,1,0,1,0,48,5,,,,,,,,,,,,,,63,2.7551022,Male,,,,,,,,
7049,"1,763",1,0,0,Both Male & Female,,Female,22,22,2.6734693,0.020408163,0.10204082,0.22448979,0,0,0,1,0,0,0,51,5,,,,,,,,,,,,,,64,3.2448978,Male,,,,,,,,
6610,"1,653",2,0,0,Both Male & Female,,Female,30,30,2.6938775,0,0.06122449,0.22448979,0,0,0,1,0,0,0,45,5,2,,,,,,,,,,,,,,,,,,,,,,,
852,213,4,0,0,Male Only,,Male,32,64,3.2448978,0.020408163,0.20408164,0.40816328,0,1,1,1,0,0,0,64,5,,,,,,,,,,,,,,,,,,,,,,,,
106,27,2,1,0,Both Male & Female,,Male,21,53,4.0816326,0.12244898,0.34693879,0.77551019,1,1,1,1,1,1,1,64,5,,,,,,,,,,,,,,,,,,,,,,,,
108,27,4,1,0,Both Male & Female,,Female,13,13,4.0408163,0.06122449,0.42857143,0.75510204,1,1,1,1,0,1,1,51,5,,,,,,,,,,,,,,,,,,,,,,,,
184,46,4,1,0,Both Male & Female,,Male,12,44,2.8163266,0,0.081632651,0.20408164,0,0,1,1,0,0,0,62,5,,,,,,,,,,,,,,,,,,,,,,,,
37,10,1,1,0,Both Male & Female,,Male,14,46,3.5102041,0.020408163,0.22448979,0.55102038,0,1,1,1,0,1,0,59,5,,,,,,,,,,,,,,,,,,,,,,,,
171,43,3,0,0,Both Male & Female,,Male,22,54,2.6938775,0,0.06122449,0.20408164,0,0,0,1,0,0,0,64,5,,,,,,,,,,,,,,,,,,,,,,,,
12,3,4,1,0,Both Male & Female,,Male,19,51,3.5306122,0.020408163,0.24489796,0.46938777,1,1,1,1,0,0,0,58,5,,,,,,,,,,,,,,,,,,,,,,,,
61,16,1,1,0,Both Male & Female,,Female,6,6,3.8367348,0.10204082,0.32653061,0.59183675,0,1,1,1,0,1,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
200,50,4,0,0,Both Male & Female,,Female,9,9,4.6326532,0.20408164,0.63265306,0.77551019,1,1,1,1,1,1,1,45,5,,,,,,,,,,,,,,,,,,,,,,,,
528,132,4,0,0,Both Male & Female,,Male,32,64,3.2448978,0.020408163,0.20408164,0.40816328,0,1,1,1,0,0,0,67,5,,,,,,,,,,,,,,,,,,,,,,,,
19,5,3,1,0,Both Male & Female,,Male,26,58,2.5714285,0.020408163,0.12244898,0.20408164,0,0,0,0,0,0,0,57,5,,,,,,,,,,,,,,,,,,,,,,,,
34,9,2,0,0,Both Male & Female,,Female,5,5,4.3265305,0.20408164,0.44897959,0.75510204,1,1,1,1,1,1,1,48,5,,,,,,,,,,,,,,,,,,,,,,,,
849,213,1,0,0,Male Only,,Male,20,52,4.1836734,0.1632653,0.40816328,0.71428573,1,1,1,1,1,1,0,63,5,,,,,,,,,,,,,,,,,,,,,,,,
6104,"1,526",4,0,0,Both Male & Female,,Female,19,19,2.367347,0.020408163,0.040816326,0.14285715,0,0,0,0,0,0,0,47,5,,,,,,,,,,,,,,,,,,,,,,,,
604,151,4,1,0,Both Male & Female,,Male,20,52,4.1836734,0.1632653,0.40816328,0.71428573,1,1,1,1,1,1,0,67,5,,,,,,,,,,,,,,,,,,,,,,,,
5184,"1,296",4,0,0,Both Male & Female,,Female,29,29,3.1632652,0,0.14285715,0.34693879,0,0,1,1,0,0,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
6603,"1,651",3,0,0,Both Male & Female,,Female,15,15,2.4693878,0,0.06122449,0.20408164,0,0,0,0,0,0,0,48,5,4,,,,,,,,,,,,,,,,,,,,,,,
164,41,4,0,0,Both Male & Female,,Male,8,40,3.7346938,0.040816326,0.26530612,0.63265306,1,1,1,1,0,1,0,59,5,,,,,,,,,,,,,,,,,,,,,,,,
393,99,1,1,0,Both Male & Female,,Female,23,23,3.2448978,0.020408163,0.1632653,0.40816328,0,0,1,1,0,0,0,47,5,,,,,,,,,,,,,,,,,,,,,,,,
110,28,2,1,0,Both Male & Female,,Female,2,2,3.9183674,0.06122449,0.34693879,0.63265306,1,1,1,1,0,1,0,51,5,,,,,,,,,,,,,,,,,,,,,,,,
